"stk","stkName","yr","cyc","rec","eff","ets","rec2","rec3","rec4","rec5","rec6"
5,"Raft",1948,4,0.063337,0.005524,0.010359,0,0,0.062653,0.000684,0
5,"Raft",1949,1,0.039626,0.002109,0.005484,0,0,0.036748,0.002878,0
5,"Raft",1950,2,0.045539,0.001917,0.003597,0,1.7e-05,0.039549,0.00599,0
5,"Raft",1951,3,0.047645,0.003364,0.006769,0,8e-06,0.034636,0.013009,0
5,"Raft",1952,4,0.051177,0.005116,0.010353,0,5e-06,0.046167,0.00501,0
5,"Raft",1953,1,0.032124,0.0036,0.006259,0,0,0.030285,0.001839,0
5,"Raft",1954,2,0.050257,0.005352,0.009918,0,0.000231,0.038964,0.011293,0
5,"Raft",1955,3,0.060357,0.002905,0.004657,0,7e-06,0.052497,0.00786,0
5,"Raft",1956,4,0.025364,0.005179,0.008476,0,0,0.017335,0.008029,0
5,"Raft",1957,1,0.020943,0.003314,0.006813,0,7.2e-05,0.018932,0.002011,0
5,"Raft",1958,2,0.023103,0.006235,0.010112,0,2.3e-05,0.022591,0.000512,0
5,"Raft",1959,3,0.023584,0.005232,0.009825,0,0,0.020417,0.003167,0
5,"Raft",1960,4,0.016764,0.002252,0.004389,0,6.4e-05,0.014715,0.002049,0
5,"Raft",1961,1,0.024293,0.003014,0.005477,0,3.2e-05,0.022139,0.002154,0
5,"Raft",1962,2,0.040549,0.004197,0.007213,0,0,0.037568,0.002981,0
5,"Raft",1963,3,0.009355,0.002693,0.004932,0,1.8e-05,0.00909,0.000265,0
5,"Raft",1964,4,0.048511,0.002666,0.004959,0,8.1e-05,0.040283,0.008228,0
5,"Raft",1965,1,0.020553,0.002669,0.004327,0,7.3e-05,0.018867,0.001686,0
5,"Raft",1966,2,0.023219,0.002666,0.005492,0,0.00032,0.020483,0.002736,0
5,"Raft",1967,3,0.009621,0.000358,0.00064,0,3.7e-05,0.008226,0.001395,0
