"stk","alpha","beta0","sigma","deviance"
4,1.427,18.38,0.7329,-323.2
4,1.421,17.71,1.041,-316.9
4,1.433,9.673,0.9235,-321.2
4,1.551,24.64,0.8539,-325.1
4,1.496,11.24,0.8442,-323.4
4,1.923,45.46,0.7636,-320.8
4,1.625,17.05,0.8361,-323.7
4,1.549,25.43,0.8156,-325.6
4,1.659,20.68,0.772,-324.2
4,1.588,27.75,0.8487,-325.3
4,1.709,17.87,0.9235,-320.1
4,1.425,12.02,0.7411,-322.8
4,1.435,14,0.7717,-324
4,1.536,15.89,0.7166,-323.1
4,1.56,22.02,0.6659,-321.4
4,1.583,39.37,0.7834,-322.7
4,1.414,16.85,0.7912,-324
4,1.435,28.02,0.7622,-322.1
4,1.403,24.25,0.709,-320.1
4,1.688,42.02,0.8405,-323.6
4,1.594,30.74,0.8415,-325.2
4,1.601,16.55,0.833,-324
4,1.566,28.8,0.7652,-325.4
4,1.335,11.67,0.8318,-322.2
4,1.347,18.58,0.8288,-322
4,1.98,38.78,0.7657,-317.5
4,1.411,17.09,0.7206,-322.3
4,1.663,43.1,0.8629,-322.6
4,1.747,33.03,0.9249,-322.5
4,1.596,23.45,0.8282,-325.6
4,1.502,18.7,0.8899,-323.8
4,1.69,49.39,0.8646,-320.3
4,1.624,10.85,0.848,-320.9
4,1.852,38.34,0.676,-318.7
4,1.508,21.66,0.7616,-325.2
4,1.622,13.7,0.7855,-322.3
4,1.585,25.55,0.7666,-325.8
4,1.703,37.31,0.8216,-325.1
4,1.685,31.86,0.9069,-323.7
4,1.504,20.44,0.849,-324.8
4,1.576,23.88,0.761,-325.7
4,1.453,10.92,0.8737,-322.9
4,1.609,36.43,0.7341,-323.5
4,1.348,15.6,0.8433,-322.3
4,1.448,15.14,0.8842,-323.3
4,1.679,18.25,0.8913,-321.9
4,1.402,16.48,0.6956,-320.8
4,1.801,32.79,0.84,-323.7
4,1.63,29.98,0.6945,-323.6
4,1.605,34.01,0.8817,-323.9
4,1.534,15.43,0.7342,-323.6
4,1.662,20.14,0.7772,-324
4,1.574,28.55,0.7,-323.6
4,1.401,19.56,0.7558,-323
4,1.658,21.2,0.8023,-324.6
4,1.557,29.91,0.8185,-325.2
4,1.675,29.73,0.8432,-325.3
4,1.585,20.13,0.8635,-324.5
4,1.58,29.43,0.8291,-325.4
4,1.476,17.57,0.8572,-324.3
4,1.652,36.88,0.7659,-324.8
4,1.599,23.62,0.7607,-325.6
4,1.443,23.59,0.7759,-323.9
4,1.608,20.96,0.7279,-324.2
4,1.545,28.01,0.8668,-324.5
4,1.615,18.6,0.8711,-323.7
4,1.353,12.42,0.9389,-320.3
4,1.627,29.32,0.6923,-323.5
4,1.553,35.61,0.7929,-323.5
4,1.503,19.81,0.7877,-325.3
4,1.885,39.35,0.8049,-322.4
4,1.639,32.95,0.7074,-323.9
4,1.439,13.85,0.8221,-324.1
4,1.754,39.47,0.8982,-323.1
4,1.996,50.24,0.8604,-319.1
4,1.515,10.25,0.7966,-323
4,1.359,25.95,1.04,-314.7
4,1.605,13.37,0.8436,-322.6
4,1.74,29.37,0.9041,-323
4,1.604,22.65,0.753,-325.3
4,1.843,26.22,0.7697,-319.7
4,1.591,22.75,0.8001,-325.7
4,1.504,26.31,0.7685,-324.8
4,1.392,17.22,0.7581,-323
4,1.42,20.63,0.8709,-323.2
4,1.447,18.57,0.6949,-321.9
4,1.527,24.55,0.8005,-325.5
4,1.792,34.61,0.7823,-324.3
4,1.355,20.15,0.8582,-321.7
4,1.363,22.13,0.7776,-321.5
4,1.678,26.62,0.7278,-324.4
4,1.751,30.74,0.8092,-324.8
4,1.511,17.05,0.745,-324.4
4,1.596,26.09,0.8626,-325.1
4,1.603,17.1,0.6696,-319.7
4,1.747,23.04,0.8031,-322.8
4,1.705,16.4,0.8403,-321.2
4,1.619,12.92,0.7726,-321.8
4,1.543,19.92,0.864,-324.6
4,1.505,21.49,0.7879,-325.4
4,1.585,15.56,0.7247,-322.6
4,1.578,25.74,0.81,-325.8
4,1.725,33.83,0.729,-324.4
4,1.563,28.44,0.8085,-325.6
4,1.496,22.7,0.8412,-324.9
4,1.682,37.74,0.7925,-325
4,1.543,14.82,0.888,-323.1
4,1.652,29.09,0.7299,-325
4,1.701,36.44,0.8939,-323.7
4,1.663,35.37,0.8352,-325.1
4,1.7,38.22,0.8655,-324.2
4,1.633,19.99,0.7138,-322.9
4,1.435,16.53,0.8677,-323.6
4,1.607,24.19,0.7386,-325.2
4,1.445,15.97,0.8667,-323.7
4,1.497,24.28,0.763,-324.9
4,1.525,26.26,0.7842,-325.3
4,1.636,32.55,0.8218,-325.6
4,1.418,20.92,0.7763,-323.7
4,1.428,25.63,0.8537,-322.8
4,1.653,31.16,0.8019,-325.9
4,1.51,13.33,0.8523,-323.7
4,1.765,19.4,0.7435,-319
4,1.762,33.32,0.8747,-323.9
4,1.675,30.08,0.7354,-325.1
4,1.764,28.44,0.6602,-318.4
4,1.83,43.75,0.797,-323.4
4,1.57,21.64,0.8713,-324.6
4,1.662,19.4,0.8052,-323.9
4,1.616,33.11,0.7776,-325.4
4,1.584,23.36,0.77,-325.7
4,1.829,29.52,0.846,-322.1
4,1.595,31.55,0.7052,-323.6
4,1.539,15.77,0.7459,-324
4,1.592,27.34,0.8638,-325
4,1.676,28.83,0.7512,-325.3
4,1.217,13.58,0.89,-317.4
4,1.415,14.43,1.045,-316.6
4,1.434,27.51,0.7839,-322.7
4,1.808,37.58,0.6583,-318.5
4,1.607,22.25,0.6639,-321
4,1.803,35.61,0.9609,-320.6
4,1.625,30.53,0.9052,-323.8
4,1.674,36.02,0.7312,-324.4
4,1.911,43.28,0.8849,-321.1
4,1.709,26.3,0.8557,-324.3
4,1.621,18.96,0.7626,-324.3
4,1.573,25.87,0.8442,-325.4
4,1.752,33.21,0.8836,-323.8
4,1.328,29.48,0.9124,-316.6
4,1.688,35.94,0.7247,-324.3
4,1.39,18.01,0.6963,-320.4
4,1.649,29.91,0.7633,-325.8
4,1.542,29.6,0.8229,-325
4,1.684,39.73,0.7207,-323.1
4,1.518,21.47,0.8756,-324.4
4,1.634,16.46,0.7686,-323.1
4,1.552,19.8,0.7988,-325.4
4,1.661,20.15,0.8689,-323.4
4,1.755,29.2,0.6711,-319.9
4,1.537,14.54,0.7764,-324.2
4,1.545,21.95,0.8486,-325.1
4,1.618,22.86,0.7064,-323.7
4,1.657,21.12,0.8691,-323.8
4,1.479,23.94,0.6964,-322.3
4,1.571,26.85,0.8673,-324.9
4,1.491,22.24,0.7387,-324.4
4,1.684,30.05,0.867,-324.8
4,1.769,36.81,0.7393,-324
4,1.65,19.13,0.7875,-324
4,1.507,28.84,1.008,-318.7
4,1.643,28.45,0.8997,-324
4,1.391,30.03,0.8592,-319.9
4,1.507,16.23,0.8519,-324.4
4,1.378,15.42,0.8343,-323.1
4,1.633,27.38,0.7307,-325.1
4,1.823,28.16,0.813,-322
4,1.651,27.12,0.7583,-325.6
4,1.571,30,0.8989,-323.7
4,1.36,12.73,0.7897,-322.8
4,1.821,57.92,0.902,-317.5
4,1.559,37.43,0.7902,-322.9
4,1.699,22.91,0.8385,-323.9
4,1.556,25.65,0.9092,-323.6
4,1.549,26.62,0.8591,-324.9
4,1.676,24.89,0.8318,-324.9
4,1.616,11.17,0.7697,-320.9
4,1.852,32.24,0.8833,-321.4
4,1.531,13.38,0.788,-324
4,1.543,26.64,0.6785,-322.1
4,1.732,39.93,0.7894,-324.7
4,1.774,28.19,0.861,-323.1
4,1.56,24.67,0.7345,-325.1
4,1.586,14.01,0.8275,-323.4
4,1.72,29.28,0.7711,-325
4,1.622,19.06,0.7874,-324.6
4,1.747,29.94,0.8471,-324.3
4,1.632,21.06,0.7522,-324.6
4,1.644,18.88,0.9649,-320.3
4,1.561,26.73,0.7566,-325.5
4,1.799,35.55,0.8178,-324.2
4,1.796,31.63,0.6977,-321
4,1.586,23.06,0.8036,-325.8
4,1.663,40.76,0.8659,-323.3
4,1.531,23.76,0.7407,-325
4,1.654,28.59,0.7128,-324.4
4,1.908,44.06,0.7463,-320.8
4,1.456,10.19,0.9359,-320.9
4,1.767,35.98,0.7698,-324.7
4,2.012,42.66,0.7824,-317.3
4,1.669,23.03,0.6883,-321.8
4,1.481,18.22,0.7877,-325
4,1.332,23.91,0.9213,-318.7
4,1.567,10.81,0.781,-322.2
4,1.843,52.1,0.6924,-316.9
4,1.862,42.1,0.9245,-321
4,1.551,22.11,0.8642,-324.8
4,1.586,14.79,0.9735,-319.8
4,1.44,19.99,0.8259,-324.3
4,1.46,29.18,0.8732,-322.4
4,1.499,25.33,0.7255,-323.9
4,1.577,27.61,0.801,-325.8
4,1.45,10.54,0.7962,-323.5
4,1.746,30.86,0.8602,-324.2
4,1.5,26.34,0.8713,-324
4,1.796,37.88,0.8524,-323.9
4,1.552,29.25,0.922,-322.8
4,1.511,31.24,0.7979,-324
4,1.667,28.09,0.7437,-325.2
4,1.708,24.05,0.814,-324.3
4,1.496,18.33,0.8014,-325.1
4,1.432,28.41,0.6983,-319.1
4,1.733,26.14,0.9189,-322.1
4,1.574,24.75,1.024,-318.8
4,1.615,29.66,0.7061,-324.1
4,1.789,29.1,0.905,-321.9
4,1.662,33.64,0.7438,-325.1
4,1.427,26.08,0.7749,-322.7
4,1.737,25.42,0.7766,-323.8
4,1.439,10.27,0.7676,-323.1
4,1.557,33.12,0.7632,-324.2
4,1.398,24.09,0.8713,-322
4,1.658,18.44,0.7511,-323
4,1.501,20.73,0.7383,-324.6
4,1.643,34.12,0.7941,-325.5
4,1.525,23.79,0.9362,-322.5
4,1.605,35.12,0.7986,-324.9
4,1.698,29.9,0.6784,-322.1
4,1.893,37.37,0.8902,-321
4,1.383,19.27,0.7213,-321.3
4,1.524,11.32,0.7413,-322.4
4,1.7,27.72,0.8745,-324.2
4,1.837,46.56,0.7856,-322.7
4,1.553,30.32,0.7462,-324.6
4,1.737,40.53,0.7485,-324
4,1.871,44.21,0.7828,-322.6
4,1.529,19.75,0.7463,-324.9
4,1.585,24.22,0.6708,-322
4,1.514,10.72,0.7248,-321.7
4,1.509,33.07,0.7703,-323
4,1.594,13.07,0.8447,-322.7
4,1.54,24.16,0.8593,-324.9
4,1.628,24.02,0.9106,-323.5
4,1.634,25.74,0.7464,-325.3
4,1.393,21.16,0.7531,-322.4
4,1.51,17.72,0.9337,-322.3
4,1.851,32.1,0.8483,-322
4,1.477,16.22,0.7521,-324.3
4,1.62,31.11,0.6863,-322.9
4,1.688,29.5,0.7258,-324.6
4,1.762,45.88,0.934,-320.8
4,1.635,13.72,0.8368,-322.1
4,1.67,17.81,0.7666,-322.6
4,1.588,27.2,0.9563,-321.9
4,1.697,34.7,0.7924,-325.5
4,1.578,24.76,0.8974,-324.1
4,1.485,23.24,0.8168,-325
4,1.432,24.34,0.8132,-323.6
4,1.732,35.78,0.9333,-322.4
4,1.715,34.96,0.7721,-325.3
4,1.66,20.82,0.7893,-324.4
4,1.552,18.24,0.8536,-324.6
4,1.558,15.26,0.7422,-323.6
4,1.502,16.67,0.7648,-324.7
4,1.628,33.84,0.7225,-324.2
4,1.583,29.09,0.7347,-325
4,1.569,38.77,0.7438,-321.7
4,1.372,15.34,0.9334,-320.8
4,1.791,25.05,0.8312,-322
4,1.636,19.7,0.8867,-323.3
4,1.736,25.27,0.8145,-323.9
4,1.655,24.66,0.8469,-325
4,1.795,29.33,0.7711,-323
4,1.577,31.23,0.7634,-325.1
4,1.6,19.62,0.8832,-323.8
4,1.68,35.09,0.8355,-325.2
4,1.398,24.28,0.7774,-322.2
4,1.572,27.06,0.8114,-325.8
4,1.759,39.35,0.8293,-324.6
4,1.642,34.64,0.8074,-325.4
4,1.598,38.88,0.8004,-323.4
4,1.405,19.82,0.716,-321.7
4,1.689,40,0.8152,-324.5
4,1.624,15,0.888,-322
4,1.659,23.19,0.789,-325.1
4,1.521,11.95,0.876,-322.8
4,1.54,24.1,0.7427,-325.1
4,1.691,31.47,0.7612,-325.5
4,1.66,41.98,0.9411,-320.8
4,1.679,39.21,0.8546,-324.1
4,1.635,29.77,0.8712,-324.9
4,1.753,39.27,0.7733,-324.6
4,1.537,29.88,0.7484,-324.4
4,1.691,33.85,0.8205,-325.5
4,1.294,11.02,0.7248,-318.9
4,1.584,26.68,0.7062,-324.1
4,1.554,19.24,0.7516,-324.9
4,1.599,22.63,0.8048,-325.6
4,1.329,20.37,0.8523,-320.8
4,1.596,10.53,0.7959,-321.5
4,1.718,12.95,0.7532,-317.2
4,1.491,23.68,0.8271,-324.9
4,1.489,14.67,0.8185,-324.5
4,1.475,28.37,0.9716,-319.9
4,1.545,22.15,0.7085,-324
4,1.767,39.5,1.037,-317.4
4,1.522,15.65,0.772,-324.6
4,1.572,27.43,0.7772,-325.8
4,1.547,22.53,0.7327,-324.9
4,1.38,16.7,0.7486,-322.5
4,1.556,22.94,0.742,-325.2
4,1.805,34.66,0.7643,-323.7
4,1.556,20.7,0.72,-324.3
4,1.553,22.15,0.7226,-324.6
4,1.602,30.81,0.7896,-325.7
4,1.837,33.46,0.7578,-322.4
4,1.464,17.01,0.756,-324.4
4,1.501,21.72,0.8244,-325.2
4,1.543,15.98,0.8224,-324.6
4,1.842,37.31,0.6993,-320.5
4,1.493,11.97,0.8105,-323.9
4,1.569,20.69,0.8276,-325.3
4,1.614,22.14,0.7328,-324.6
4,1.735,33.77,0.8859,-323.9
4,1.625,21.22,1.113,-313.7
4,1.601,36.17,0.8095,-324.5
4,1.672,36.21,0.6206,-316.1
4,1.624,15.55,0.7779,-323.1
4,1.559,14.55,0.753,-323.6
4,1.434,29.26,0.9242,-320.4
4,1.401,21.31,0.8217,-323.3
4,1.743,21.95,0.8215,-322.5
4,1.743,38.05,0.7626,-324.7
4,1.627,36.1,0.8469,-324.5
4,1.523,12.1,1.045,-316.5
4,1.552,18.96,0.8498,-324.8
4,1.511,23.12,0.8732,-324.4
4,1.603,23.49,0.8011,-325.7
4,1.784,47.82,0.7644,-322.1
4,1.554,24.86,0.902,-323.8
4,1.545,36.28,0.778,-322.9
4,1.88,45.11,0.8617,-322.1
4,1.551,27.05,0.8365,-325.3
4,1.493,22.44,0.8756,-324.1
4,1.579,19.42,0.7746,-325.1
4,1.602,18.35,0.6889,-321.6
4,1.61,37.82,0.8608,-323.5
4,1.635,34.77,0.6662,-320.9
4,1.671,19.03,0.792,-323.5
4,1.797,34.1,0.8849,-323.1
4,1.694,13.74,0.7156,-317.2
4,1.508,23.64,0.8296,-325.1
4,1.515,22.16,0.8391,-325.1
4,1.689,38.87,0.919,-322.6
4,1.598,23.43,0.8552,-325.1
4,1.437,19.78,0.7536,-323.9
4,1.576,16.97,0.7918,-324.6
4,1.466,16.05,0.8144,-324.6
4,1.638,28.13,0.9249,-323.2
4,1.593,22.47,0.7859,-325.7
4,1.475,14.04,0.6823,-320.8
4,1.464,33.95,0.7904,-321.2
4,1.508,28.74,0.8838,-323.4
4,1.643,19.54,0.7344,-323.3
4,1.525,19.31,0.8059,-325.4
4,1.658,37.33,0.8757,-323.9
4,1.846,31.56,0.8227,-322.2
4,1.701,26.64,0.8643,-324.3
4,1.59,25.55,0.8714,-324.8
4,1.538,18.38,0.7584,-324.9
4,1.606,20.67,0.7714,-325.1
4,1.471,11.09,0.8703,-323
4,1.659,25.56,0.7858,-325.5
4,1.499,28.22,0.8183,-324.4
4,1.537,24.18,0.7465,-325.2
4,1.411,13,1.032,-317.2
4,1.498,28.38,0.7847,-324.4
4,1.491,15.01,0.8642,-323.9
4,1.677,28.2,0.7803,-325.6
4,1.507,23.26,0.7812,-325.3
4,1.686,14.4,0.8464,-320.8
4,1.464,29.63,0.8116,-323.1
4,1.533,16.7,0.7526,-324.5
4,1.463,17.17,0.8644,-324
4,1.531,25.81,0.762,-325.3
4,1.664,33.65,0.722,-324.5
4,1.758,38.06,0.7067,-322.9
4,1.517,31.93,0.7928,-323.9
4,1.532,29.62,0.7661,-324.7
4,1.601,32.58,0.7114,-323.7
4,1.673,14.55,0.866,-321
4,1.571,21.83,0.8138,-325.6
4,1.604,43.64,0.8593,-321.1
4,1.526,15.95,0.7193,-323.3
4,1.729,36.94,0.7975,-325.2
4,1.647,21.74,0.8438,-324.5
4,1.68,28.5,0.848,-325.1
4,1.458,19.06,0.7516,-324.3
4,1.627,22.39,0.688,-322.5
4,1.745,22.57,0.6984,-319.5
4,1.587,22.1,0.7187,-324.4
4,1.617,18.97,0.8688,-323.8
4,1.757,26.74,0.8515,-323.4
4,1.633,32.34,0.7554,-325.4
4,1.774,31.84,0.93,-321.9
4,1.736,29.41,0.734,-323.9
4,1.504,10.46,0.77,-323
4,1.379,10.53,0.8284,-322.9
4,1.3,17.68,0.6933,-316.1
4,1.792,26.97,0.8494,-322.4
4,1.673,39.95,0.8294,-324.2
4,1.511,24.78,0.7623,-325.1
4,1.612,35.54,0.781,-324.8
4,1.76,33.71,0.8495,-324.4
4,1.462,19.26,0.7852,-324.8
4,1.736,24.05,0.8003,-323.5
4,1.532,17.65,0.7247,-323.9
4,1.656,30.26,0.8264,-325.7
4,1.517,23.53,0.8554,-324.8
4,1.454,21.56,0.745,-323.9
4,1.84,33.62,0.8033,-322.9
4,1.495,22.12,0.7135,-323.6
4,1.455,12.73,0.7735,-323.9
4,1.505,23.19,0.822,-325.2
4,1.47,21.43,0.8015,-324.9
4,1.814,49.47,0.8306,-322
4,1.605,36,0.885,-323.4
4,1.841,41.78,0.8047,-323.5
4,1.739,22.2,0.8702,-322.1
4,1.788,33.08,0.8172,-324.2
4,1.598,23.41,0.7708,-325.7
4,1.859,31.99,0.829,-321.8
4,1.574,17.81,0.8245,-324.8
4,1.718,23.69,0.9038,-322.3
4,1.502,23.9,0.8001,-325.2
4,1.707,21.29,0.8058,-323.4
4,1.588,15.25,0.7116,-321.8
4,1.519,28.46,0.789,-324.9
4,1.905,40.11,0.742,-320.6
4,1.627,11.66,0.771,-320.8
4,1.799,44.48,0.7688,-323.3
4,1.677,30.29,0.7138,-324.3
4,1.886,35.82,0.8835,-321.1
4,1.822,31.24,0.7496,-322.1
4,1.374,13,0.793,-323.1
4,1.789,32.52,0.8663,-323.5
4,1.528,12.52,0.76,-323.3
4,1.526,16.09,0.8999,-323.2
4,1.514,25.11,0.8901,-323.8
4,1.761,44.47,0.7593,-323.1
4,1.561,31.06,0.7832,-325.1
4,1.58,19.35,0.7742,-325.1
4,1.817,42.41,0.8139,-323.8
4,1.722,40.44,0.9214,-322.3
4,1.56,24.81,0.7436,-325.3
4,1.687,28.46,0.8003,-325.6
4,1.547,18.14,0.8242,-325
4,1.683,38.56,0.8057,-324.8
4,1.608,21.76,0.7933,-325.5
4,1.592,21.34,0.7596,-325.3
4,1.566,27.7,0.7597,-325.5
4,1.466,21.19,0.7985,-324.9
4,1.483,22.94,0.7522,-324.6
4,1.508,14.17,0.7558,-324
4,1.384,11.14,0.9054,-321.7
4,1.479,21.94,0.7163,-323.5
4,1.918,46.92,0.8118,-321.5
4,1.63,26.49,0.7234,-324.8
4,1.706,14.55,0.8237,-320.2
4,1.461,19.28,0.6977,-322.3
4,1.436,19.16,0.6857,-321
4,1.541,31.6,0.7795,-324.5
4,1.478,20.51,0.7334,-324.1
4,1.555,24.61,0.9592,-321.7
4,1.569,43.74,0.8215,-320.1
4,1.651,30.81,0.9329,-322.8
4,1.45,15.97,0.8559,-324
4,1.466,23.46,0.7021,-322.3
4,1.737,33.62,0.7053,-323.3
4,1.835,46.65,0.7772,-322.6
4,1.601,28.19,0.832,-325.6
4,1.375,23.61,0.8246,-321.9
4,1.544,20.42,0.8366,-325.2
4,1.833,38.9,0.8211,-323.7
4,1.647,24.5,0.84,-325.1
4,1.729,34.37,0.8914,-323.8
4,1.485,14.68,0.8605,-323.9
4,1.385,17.87,0.7891,-323.2
4,1.641,37.42,0.7957,-324.7
4,1.603,17.61,0.8347,-324.3
4,1.649,30.63,0.8639,-325
4,1.627,26.61,0.8794,-324.6
4,1.563,17.77,0.6817,-321.5
4,1.911,48.12,0.7481,-320.4
4,1.782,21.28,0.7789,-320.3
4,1.59,22.43,0.657,-320.6
4,1.586,18.43,0.6938,-322.2
4,1.526,11.47,0.7176,-321.5
4,1.645,24.18,0.8054,-325.5
4,1.49,17.36,0.8189,-324.9
4,1.663,26.46,0.882,-324.3
4,1.347,9.659,0.8916,-321.4
4,1.577,28.44,0.9664,-321.4
4,1.514,15.73,0.9036,-323
4,1.409,24,0.9495,-320.1
4,1.495,15.11,0.8553,-324.1
4,1.368,14.69,0.832,-323
4,1.603,36.5,0.8638,-323.7
4,1.376,27.77,0.8618,-320.2
4,1.719,43.35,0.6995,-321
4,1.853,41.76,0.8185,-323.2
4,1.429,12.29,0.9053,-322.2
4,1.596,24.04,0.7531,-325.5
4,1.507,21.4,0.9316,-322.5
4,1.567,29.16,0.7311,-324.7
4,1.408,16.06,0.8259,-323.8
4,1.547,30.79,0.7119,-323.2
4,1.53,25.45,0.7097,-323.8
4,1.618,28.14,0.7593,-325.8
4,1.717,23.43,0.7444,-323.1
4,1.655,17.15,0.8446,-323
4,1.691,28.55,0.7489,-325.1
4,1.566,24.49,0.7185,-324.6
4,1.476,27.86,0.9095,-322.2
4,1.391,24.18,0.787,-322.1
4,1.37,18.94,0.7707,-322.4
4,1.635,14.57,0.8579,-322.2
4,1.915,30.15,0.8853,-318.4
4,1.817,48.87,0.8571,-322
4,1.539,22.84,0.7459,-325.2
4,1.544,23.13,0.7938,-325.7
4,1.483,13.24,0.7414,-323.4
4,1.638,37.95,0.8265,-324.4
4,1.647,20.94,0.786,-324.7
4,1.684,12.41,0.8257,-319.8
4,1.522,25.55,0.9161,-323.1
4,1.466,21.27,0.8653,-324.1
4,1.615,23.57,0.7838,-325.7
4,1.579,19.78,0.8092,-325.3
4,1.495,38.88,0.7963,-319.8
4,1.67,26.51,0.8084,-325.5
4,1.712,19.83,0.7734,-322.3
4,1.561,26.72,0.9332,-322.7
4,1.529,15.19,0.8365,-324.3
4,1.455,33.2,0.764,-320.7
4,1.479,13.81,0.7331,-323.3
4,1.676,32.44,0.7258,-324.7
4,1.765,28.03,0.7563,-323.4
4,1.519,21.21,0.8031,-325.5
4,1.492,21.46,0.7303,-324.2
4,1.431,19.27,0.8319,-324.1
4,1.593,23.7,0.8023,-325.8
4,1.735,27.01,0.9206,-322.2
4,1.553,28.75,0.8894,-323.9
4,1.822,29.74,0.7291,-320.9
4,1.78,25.54,0.8514,-322.3
4,1.629,29.95,0.6523,-320.5
4,1.731,31.65,0.8571,-324.6
4,1.653,24.29,0.7551,-325.1
4,1.687,29.39,0.8819,-324.3
4,1.331,13.19,0.7217,-320.1
4,1.627,32.51,0.8372,-325.3
4,1.934,44.48,0.7673,-320.6
4,1.695,30.69,0.8969,-323.9
4,1.547,20.36,0.7884,-325.5
4,1.76,29.94,0.8686,-323.7
4,1.618,31.09,0.6791,-322.5
4,1.455,21.67,0.7811,-324.5
4,1.6,18.37,0.8755,-323.8
4,1.723,38.99,0.8538,-324.4
4,2.017,34.95,0.7783,-314
4,1.695,33.42,0.686,-322.7
4,1.44,27.1,0.7163,-321.1
4,1.675,26.53,0.7744,-325.4
4,1.489,10.68,0.7213,-321.8
4,1.468,28.9,0.8178,-323.4
4,1.698,34.41,0.7925,-325.6
4,1.586,40.24,0.8182,-322.5
4,1.537,20.81,0.8191,-325.4
4,1.78,44.37,0.8234,-323.6
4,1.57,17.85,0.9451,-321.7
4,1.808,38.88,0.8208,-324.1
4,1.83,42.45,0.7385,-322.6
4,1.462,24.28,0.846,-324.1
4,1.502,22.69,0.8868,-323.9
4,1.667,28.85,0.7097,-324.2
4,1.805,36.88,0.7672,-324
4,1.394,20.97,0.8112,-323.1
4,1.45,38.29,0.8617,-318.3
4,1.665,29.49,0.818,-325.7
4,1.425,12.57,0.8487,-323.5
4,2.016,52.1,0.8386,-318.5
4,1.536,26.87,0.8603,-324.7
4,1.765,30.75,0.8246,-324.4
4,1.662,25.41,0.7556,-325.2
4,1.53,16.41,0.899,-323.2
4,1.782,35.08,0.978,-320.1
4,1.502,16.81,0.8592,-324.3
4,1.691,22.98,0.8741,-323.5
4,1.548,29.05,0.7361,-324.5
4,1.429,18.27,0.8009,-324.3
4,1.47,14.99,0.7932,-324.6
4,1.945,61.89,0.9135,-316.2
4,1.192,16.77,0.8531,-315.5
4,1.532,21.83,0.7713,-325.5
4,1.688,20.27,0.9909,-318.9
4,1.567,17.38,0.6979,-322.4
4,1.21,9.743,0.8355,-318.2
4,1.597,25.45,0.6791,-322.7
4,1.776,31.09,0.8053,-324.2
4,1.543,22.97,0.8289,-325.5
4,1.806,34.42,0.7949,-324
4,1.685,33.97,0.8379,-325.3
4,1.755,26.82,0.8904,-322.6
4,1.877,29.97,0.8158,-320.4
4,1.814,39.34,0.7694,-323.8
4,1.523,35.98,0.8161,-322.5
4,1.492,33.57,0.7803,-322.3
4,1.645,23.94,0.6865,-322.5
4,1.567,27.01,0.7015,-323.8
4,1.638,31.06,0.7851,-325.9
4,1.646,24.48,0.8105,-325.5
4,1.437,12.98,0.8358,-323.8
4,1.785,42.32,0.7824,-324
4,1.552,19.1,0.8682,-324.4
4,1.641,21.76,0.8887,-323.6
5,1.326,7.197,0.6922,-336.8
5,1.373,6.903,0.6227,-330.8
5,1.634,33.45,0.8338,-342.8
5,1.615,34.32,0.743,-343.1
5,1.355,6.3,0.7686,-339.3
5,1.769,38.4,0.7144,-340
5,1.374,20.64,0.7882,-341.9
5,1.849,35.53,0.7234,-337.2
5,1.515,22.85,0.7834,-344
5,1.414,8.341,0.9476,-336.8
5,1.615,25.92,0.6989,-342.5
5,1.351,10.07,0.7616,-340.5
5,1.528,11.16,0.7316,-339.6
5,1.657,17.76,0.8082,-340.2
5,1.516,28.99,0.9333,-339.6
5,1.335,6.747,0.7952,-339.5
5,1.486,13.33,0.8843,-340.3
5,1.581,27.84,0.7901,-344
5,1.482,23.06,0.8458,-342.8
5,1.608,18.57,0.7496,-341.8
5,1.461,25.4,0.8494,-342.3
5,1.364,19.88,0.7551,-341.6
5,1.274,15.32,0.7289,-338.1
5,1.515,36.15,0.6599,-336.8
5,1.392,11.91,0.8443,-341
5,1.376,25.51,0.8311,-340.7
5,1.571,22.94,0.6761,-341.5
5,1.426,17.37,0.8943,-340.7
5,1.497,28.69,0.7473,-343.2
5,1.163,6.153,0.7247,-332.7
5,1.384,18.48,0.8006,-342.2
5,1.436,15.19,0.8007,-342.6
5,1.579,23.3,0.8071,-343.6
5,1.367,22.59,0.7383,-340.9
5,1.559,27.52,0.8516,-342.9
5,1.527,7.09,0.7521,-337.4
5,1.363,25.27,0.7248,-339.6
5,1.531,5.371,0.9148,-335.2
5,1.602,27.81,0.8108,-343.7
5,1.55,26.28,0.7596,-344.1
5,1.597,28.94,0.7891,-344
5,1.596,24.91,0.8125,-343.5
5,1.55,20.14,0.7863,-343.5
5,1.442,12.98,0.7779,-342.1
5,1.469,22.09,0.7269,-343.2
5,1.573,29.87,0.7451,-343.8
5,1.607,32.72,0.6594,-340.1
5,1.469,30.66,0.6937,-340.3
5,1.511,24.04,0.7523,-344
5,1.536,13.16,0.812,-341.1
5,1.421,23.23,0.7477,-342.6
5,1.486,13.74,0.7824,-342.2
5,1.445,9.797,0.8574,-340.1
5,1.842,42.18,0.7713,-338.9
5,1.538,22.95,0.9146,-340.7
5,1.223,7.67,0.8862,-336.4
5,1.513,18.24,0.8185,-343
5,1.549,14.28,0.8215,-341.3
5,1.466,15.08,0.8105,-342.5
5,1.517,26.47,0.6771,-341.7
5,1.507,16.66,0.8203,-342.6
5,1.24,9.988,0.793,-338.1
5,1.436,32.18,0.8132,-340.5
5,1.433,9.543,0.6725,-337.2
