"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.703,0.7036,3.064,1.688,0.8832,0.6913,-104.3
1,1.877,1.606,1.767,2.856,1.748,0.8491,-99.64
1,1.897,2.391,1.478,2.175,1.432,0.6816,-101.2
1,1.973,2.453,2.264,2,0.7309,0.7601,-104.4
1,1.751,1.614,0.5896,2.344,1.525,0.7106,-98.03
1,1.932,3.299,2.101,2.028,0.3893,0.7704,-101.6
1,1.805,2.186,2.498,1.072,1.162,0.691,-105.5
1,1.844,0.948,1.895,1.234,1.227,0.7873,-102.4
1,1.812,1.706,1.742,0.976,1.657,0.7834,-103.4
1,1.676,3.013,1.025,0.4128,1.061,0.8292,-98.89
1,1.983,1.01,3.036,3.079,0.05478,0.8195,-99.65
1,1.773,1.413,1.848,1.381,1.077,0.764,-105.6
1,1.914,1.885,3.159,1.396,0.17,0.784,-104.6
1,2.202,1.305,3.572,3.287,1.06,0.7332,-97.32
1,1.784,0.722,4.072,1.311,0.1368,0.7917,-102.7
1,1.597,1.264,2.366,1.863,0.5406,0.6838,-103
1,2.345,1.062,4.202,3.636,0.8294,0.8432,-90.64
1,1.903,0.8476,4.006,2.396,1.277,0.8157,-100.8
1,1.653,1.254,2.247,1.018,0.5439,0.7566,-106.3
1,1.964,1.461,0.9862,3.689,0.6381,0.8262,-93.15
1,1.774,1.275,2.263,1.617,1.179,0.6641,-105
1,1.81,1.823,2.526,0.9745,1.284,0.6278,-102.4
1,1.956,1.449,2.84,1.688,0.9731,0.6576,-103.4
1,1.665,0.4954,3.017,1.796,0.7641,0.7293,-104.1
1,1.691,1.558,2.399,1.059,0.5872,0.5789,-99.05
1,1.618,0.7133,2.409,2.262,1.347,0.7727,-99.88
1,1.704,2.181,1.394,1.89,0.524,0.8075,-103.1
1,1.838,0.9663,2.529,2.07,0.547,0.6787,-104.5
1,1.741,1.103,3.155,1.265,1.57,0.7439,-103.2
1,1.759,0.6224,3.589,0.5144,0.966,0.7482,-101.7
1,2.179,3.321,3.326,1.081,0.9485,0.8177,-98.32
1,1.865,1.388,1.275,0.988,1.17,0.7465,-98.6
1,1.825,2.277,1.909,1.783,0.7002,0.7309,-105.5
1,1.761,1.69,2.586,1.043,1.097,0.7849,-105.9
1,1.783,1.065,3.667,1.162,1.555,0.8278,-101.3
1,1.65,1.193,1.485,1.903,1.123,0.7504,-103.8
1,1.578,0.8788,1.467,2.243,0.05703,0.8115,-101.8
1,1.663,0.6277,1.622,1.484,0.05673,0.7882,-102.3
1,2.039,1.852,4.066,0.9502,1.107,0.7943,-101.5
1,1.656,1.743,2.226,2.502,0.486,0.6908,-99.96
1,1.691,1.634,1.642,1.75,0.3563,0.8717,-102.5
1,1.728,1.091,2.04,1.509,1.371,0.7205,-105.2
1,1.795,1.192,2.567,1.233,0.2116,0.6817,-104
1,1.87,2.495,2.947,0.1568,1.224,0.838,-101.1
1,1.489,0.4941,0.5006,1.726,0.6602,0.8891,-97.32
1,1.582,2.148,1.887,1.156,0.6586,0.8335,-102.3
1,1.771,0.6953,3.197,2.153,0.2445,0.7359,-104.8
1,1.627,0.9642,2.086,0.6881,0.9503,0.7232,-104.6
1,1.66,0.5096,2.742,0.6436,0.4726,0.8537,-101.7
1,1.677,1.422,3.417,0.641,0.08964,0.665,-103
1,1.847,0.7215,3.133,1.666,1.371,0.8202,-103.5
1,1.69,1.007,2.115,1.651,0.7909,0.8119,-105.1
1,1.645,1.24,2.394,0.257,0.08963,0.8684,-100.9
1,1.749,2.755,2.301,1.115,0.06614,0.7651,-104.4
1,1.545,2.505,2.421,0.3881,0.2346,0.8138,-101.2
1,1.92,2.151,3.211,1.576,0.4875,0.6871,-105.6
1,1.928,1.346,0.7208,1.829,1.443,0.9021,-94.43
1,1.862,1.553,3.473,2.36,0.75,0.7136,-104.2
1,1.71,1.111,4.69,1.133,0.3374,0.6891,-96.85
